dataset,seeds,grp_cell_coverage,grp_pooled_coverage,grp_mean_halfwidth,naive_cell_coverage,naive_pooled_coverage,naive_mean_halfwidth,n_val_cells,n_test_cells
aging_matrix,4,0.85,0.9108942065491183,0.007640225677194102,0.65,0.8148614609571788,0.006144986035396954,4,5
dynamic_cycling,4,0.7763157894736842,0.8633420292555669,0.006981894224070417,0.5789473684210527,0.743676045839933,0.004992433327400597,13,19
isu_ilcc_lpo,4,0.6223404255319149,0.7542422814046665,0.12710964458460575,0.48404255319148937,0.6791774687720953,0.09808485690061265,36,47
mit,4,0.9821428571428572,0.9813703703703703,0.030768695644393055,0.7142857142857143,0.8847037037037038,0.0233699552517308,14,14
xjtu_lpo,4,0.41304347826086957,0.6517767767767768,0.07049373576255702,0.0,0.22128378378378377,0.029907346664206635,8,23
