method,dataset,seed,early_ratio,eval_region,test_cb_rmse,validation_metric,best_epoch,parameter_count,run_status,archive_group,source_class,source_sha256,adapter_version,adapter_sha256,model_commit,split_sha256
dlinear_std,mit,2028,0.3,future,0.025972100041274513,0.034088792013270516,16,100249,complete,DLinear,repository_archive,cbcf8051d2a7f049575eb7357fc2b475b38c3417cacf39412636dd7360c0030b,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,b186d5cde964b92bedc87268ced080d9afabb3959d7e8f2bfb13cb5c0baebbd9
dlinear_std,xjtu_lpo,2026,0.3,future,0.061495530378559364,0.05146420141682029,2,67481,complete,DLinear,repository_archive,281df8500b8024d3569a052dc5d16fe69c364ad8fd05292cc41e7c09b4d278b1,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,1d1b54651083db19c07334fe0832e42945e73f0c7a9b33badcc9f0b53c939dde
dlinear_std,xjtu_lpo,2027,0.3,future,0.06057468477798545,0.051480124704539776,2,67481,complete,DLinear,repository_archive,b116517b401f0fc3249a53eadddb513470ceb3ae1e2961025363de04b1cdfb73,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,1d1b54651083db19c07334fe0832e42945e73f0c7a9b33badcc9f0b53c939dde
dlinear_std,xjtu_lpo,2028,0.3,future,0.0536987515895263,0.05058982968330383,1,67481,complete,DLinear,repository_archive,752b43b62257098b4018fd87b5b6ded6b3cf5536455a66e390604470992e1dd2,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,1d1b54651083db19c07334fe0832e42945e73f0c7a9b33badcc9f0b53c939dde
itransformer,aging_matrix,2026,0.3,future,0.16248722672462462,0.16512928158044815,132,480528,complete,iTransformer,repository_archive,4de2aaf1d8256ca99f80f233b85b5af52f5c24e8d6e87f6bc834af7ac33b2144,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,ab36427c6d9611c6b504ff600663f3dd502bc82d0cfa1791d93e561819416cae
itransformer,aging_matrix,2027,0.3,future,0.22036041617393493,0.22392670437693596,56,480528,complete,iTransformer,repository_archive,a0219e60198c439a56c8586f1c007976ab5bc669cbbe2da1b4ecc39e0ed38106,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,ab36427c6d9611c6b504ff600663f3dd502bc82d0cfa1791d93e561819416cae
itransformer,aging_matrix,2028,0.3,future,0.1287677228450775,0.12698376923799515,249,480528,complete,iTransformer,repository_archive,a248c0d55654c49cb1ffef6fe601a9e6e020baa8793a7b56dc2df6f20b3cdf6f,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,ab36427c6d9611c6b504ff600663f3dd502bc82d0cfa1791d93e561819416cae
itransformer,dynamic_cycling,2026,0.3,future,0.1001065150883637,0.09868948390850654,248,472336,complete,iTransformer,repository_archive,1a2c5bbaba256ecf64a6946301294204cace408e9e2bd0a64f0ab472b1097ff8,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,2f94794804c913653b4c54d338b51f706fc9b7e15d2eb99a955434f249bfc9b4
itransformer,dynamic_cycling,2027,0.3,future,0.08224602372042443,0.0835368805206739,247,472336,complete,iTransformer,repository_archive,5d12c200a7db2de7814fafa53f851778838428c2cd6946bb4820fb32510a0b6e,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,2f94794804c913653b4c54d338b51f706fc9b7e15d2eb99a955434f249bfc9b4
itransformer,dynamic_cycling,2028,0.3,future,0.03846037691753162,0.036654082914957635,236,472336,complete,iTransformer,repository_archive,3b44dfcf8633478517f469c513835e036cfc20e709cfeea9656781a4f9f9addc,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,2f94794804c913653b4c54d338b51f706fc9b7e15d2eb99a955434f249bfc9b4
itransformer,isu_ilcc_lpo,2026,0.3,future,0.11885211854539018,0.12423922804494698,161,472336,complete,iTransformer,repository_archive,a11d64ff098e3aacc3e9de99eaa923871739f54e9bca856d3fad2cc27427aa44,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,cedeb1bff5144d54fd967d905a8f4771c08a927082a2308696300ef6c8e6c0d9
itransformer,isu_ilcc_lpo,2027,0.3,future,0.10927117927039558,0.11904018817262517,237,472336,complete,iTransformer,repository_archive,5a86c895fd6dcf324b5497ac77acc2cc958d17125367ac2adf25ead4a1929a88,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,cedeb1bff5144d54fd967d905a8f4771c08a927082a2308696300ef6c8e6c0d9
itransformer,isu_ilcc_lpo,2028,0.3,future,0.13240546336833467,0.12679442525323895,132,472336,complete,iTransformer,repository_archive,e7f3a2616fd6d9b268e43ab30e402b75d283fd4ba548954616d89b37e0b4d02c,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,cedeb1bff5144d54fd967d905a8f4771c08a927082a2308696300ef6c8e6c0d9
itransformer,mit,2026,0.3,future,0.05796366451042039,0.06019907497933933,242,159184,complete,iTransformer,repository_archive,39829c652a2d52f1bbc42a000a69c7e9a240a43ad471bc59df49e9af56890c76,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,b186d5cde964b92bedc87268ced080d9afabb3959d7e8f2bfb13cb5c0baebbd9
itransformer,mit,2027,0.3,future,0.1261906283242362,0.14048379819308007,234,159184,complete,iTransformer,repository_archive,fae291e119671355de25c2c825335d0b711d4119e59a1bbde0528c25330ad31b,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,b186d5cde964b92bedc87268ced080d9afabb3959d7e8f2bfb13cb5c0baebbd9
itransformer,mit,2028,0.3,future,0.15438589081168175,0.15902586440954888,249,159184,complete,iTransformer,repository_archive,910e87bd486eb9114b16378ec186333b228a25cb6507f4cf4ccad908b9892c02,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,b186d5cde964b92bedc87268ced080d9afabb3959d7e8f2bfb13cb5c0baebbd9
itransformer,xjtu_lpo,2026,0.3,future,0.27395192890063574,0.16077723447233438,93,155088,complete,iTransformer,repository_archive,8a90dbe0fb34b3475602ea37276254308bf9d692c365905b01370a929c34d84f,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,1d1b54651083db19c07334fe0832e42945e73f0c7a9b33badcc9f0b53c939dde
itransformer,xjtu_lpo,2027,0.3,future,0.3171232575955598,0.2830074243247509,238,155088,complete,iTransformer,repository_archive,4a3d8fe31a2515f93c0149b47e4fd573726f37b82c134a100fd5fcdf52ccf097,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,1d1b54651083db19c07334fe0832e42945e73f0c7a9b33badcc9f0b53c939dde
