dataset,seed,cell_id,comparison,family,treatment,reference,rmse_treatment,rmse_reference,delta_rmse,relative_delta,direction,n_future_points
aging_matrix,2027,PreDiag_000243_00022C,Abc-A0,primary,Abc,A0,0.0017870668447348631,0.0026930934231448075,-0.0009060265784099444,-0.3364259741691209,improve,164
aging_matrix,2027,PreDiag_000255_000214,Abc-A0,primary,Abc,A0,0.005201201023743027,0.005817563201442272,-0.0006163621776992447,-0.10594851424157078,improve,164
aging_matrix,2027,PreDiag_000203_0001A4,Ac-A0,primary,Ac,A0,0.00229681120772746,0.00229681120772746,0.0,0.0,equal,164
aging_matrix,2027,PreDiag_000213_0001CF,Ac-A0,primary,Ac,A0,0.005842804664517538,0.005842804664517538,0.0,0.0,equal,142
aging_matrix,2027,PreDiag_000240_000227,Ac-A0,primary,Ac,A0,0.003864434699822648,0.003864434699822648,0.0,0.0,equal,160
aging_matrix,2027,PreDiag_000243_00022C,Ac-A0,primary,Ac,A0,0.0026930934231448075,0.0026930934231448075,0.0,0.0,equal,164
aging_matrix,2027,PreDiag_000255_000214,Ac-A0,primary,Ac,A0,0.005817563201442272,0.005817563201442272,0.0,0.0,equal,164
aging_matrix,2027,PreDiag_000203_0001A4,Ab-A0,secondary,Ab,A0,0.0014055188548677867,0.00229681120772746,-0.0008912923528596732,-0.3880564279123085,improve,164
aging_matrix,2027,PreDiag_000213_0001CF,Ab-A0,secondary,Ab,A0,0.00587185576250753,0.005842804664517538,2.9051097989991545e-05,0.004972115218298231,worse,142
aging_matrix,2027,PreDiag_000240_000227,Ab-A0,secondary,Ab,A0,0.002963025498729602,0.003864434699822648,-0.000901409201093046,-0.23325771325219047,improve,160
aging_matrix,2027,PreDiag_000243_00022C,Ab-A0,secondary,Ab,A0,0.0017870668447348631,0.0026930934231448075,-0.0009060265784099444,-0.3364259741691209,improve,164
aging_matrix,2027,PreDiag_000255_000214,Ab-A0,secondary,Ab,A0,0.005201201023743027,0.005817563201442272,-0.0006163621776992447,-0.10594851424157078,improve,164
aging_matrix,2027,PreDiag_000203_0001A4,Ag-Abc,secondary,Ag,Abc,0.0014055188548677867,0.0014055188548677867,0.0,0.0,equal,164
aging_matrix,2027,PreDiag_000213_0001CF,Ag-Abc,secondary,Ag,Abc,0.00587185576250753,0.00587185576250753,0.0,0.0,equal,142
aging_matrix,2027,PreDiag_000240_000227,Ag-Abc,secondary,Ag,Abc,0.002963025498729602,0.002963025498729602,0.0,0.0,equal,160
aging_matrix,2027,PreDiag_000243_00022C,Ag-Abc,secondary,Ag,Abc,0.0017870668447348631,0.0017870668447348631,0.0,0.0,equal,164
aging_matrix,2027,PreDiag_000255_000214,Ag-Abc,secondary,Ag,Abc,0.005201201023743027,0.005201201023743027,0.0,0.0,equal,164
aging_matrix,2028,PreDiag_000203_0001A4,Ag-A0,primary,Ag,A0,0.002075266746044317,0.0023853919333112527,-0.00031012518726693554,-0.13001016014858366,improve,164
aging_matrix,2028,PreDiag_000213_0001CF,Ag-A0,primary,Ag,A0,0.003220947457381671,0.0034935632721871304,-0.00027261581480545914,-0.07803374193214173,improve,142
aging_matrix,2028,PreDiag_000240_000227,Ag-A0,primary,Ag,A0,0.0019699437645594535,0.002496460297597903,-0.0005265165330384496,-0.21090522991495775,improve,160
aging_matrix,2028,PreDiag_000243_00022C,Ag-A0,primary,Ag,A0,0.0012485452661099834,0.0017927561818312423,-0.0005442109157212589,-0.30356103146461616,improve,164
aging_matrix,2028,PreDiag_000255_000214,Ag-A0,primary,Ag,A0,0.0040738352385962535,0.004348691977356959,-0.0002748567387607058,-0.06320446244338458,improve,164
aging_matrix,2028,PreDiag_000203_0001A4,Abc-A0,primary,Abc,A0,0.002075266746044317,0.0023853919333112527,-0.00031012518726693554,-0.13001016014858366,improve,164
aging_matrix,2028,PreDiag_000213_0001CF,Abc-A0,primary,Abc,A0,0.003220947457381671,0.0034935632721871304,-0.00027261581480545914,-0.07803374193214173,improve,142
aging_matrix,2028,PreDiag_000240_000227,Abc-A0,primary,Abc,A0,0.0019699437645594535,0.002496460297597903,-0.0005265165330384496,-0.21090522991495775,improve,160
aging_matrix,2028,PreDiag_000243_00022C,Abc-A0,primary,Abc,A0,0.0012485452661099834,0.0017927561818312423,-0.0005442109157212589,-0.30356103146461616,improve,164
aging_matrix,2028,PreDiag_000255_000214,Abc-A0,primary,Abc,A0,0.0040738352385962535,0.004348691977356959,-0.0002748567387607058,-0.06320446244338458,improve,164
aging_matrix,2028,PreDiag_000203_0001A4,Ac-A0,primary,Ac,A0,0.0023853919333112527,0.0023853919333112527,0.0,0.0,equal,164
aging_matrix,2028,PreDiag_000213_0001CF,Ac-A0,primary,Ac,A0,0.0034935632721871304,0.0034935632721871304,0.0,0.0,equal,142
aging_matrix,2028,PreDiag_000240_000227,Ac-A0,primary,Ac,A0,0.002496460297597903,0.002496460297597903,0.0,0.0,equal,160
aging_matrix,2028,PreDiag_000243_00022C,Ac-A0,primary,Ac,A0,0.0017927561818312423,0.0017927561818312423,0.0,0.0,equal,164
aging_matrix,2028,PreDiag_000255_000214,Ac-A0,primary,Ac,A0,0.004348691977356959,0.004348691977356959,0.0,0.0,equal,164
aging_matrix,2028,PreDiag_000203_0001A4,Ab-A0,secondary,Ab,A0,0.002075266746044317,0.0023853919333112527,-0.00031012518726693554,-0.13001016014858366,improve,164
aging_matrix,2028,PreDiag_000213_0001CF,Ab-A0,secondary,Ab,A0,0.003220947457381671,0.0034935632721871304,-0.00027261581480545914,-0.07803374193214173,improve,142
aging_matrix,2028,PreDiag_000240_000227,Ab-A0,secondary,Ab,A0,0.0019699437645594535,0.002496460297597903,-0.0005265165330384496,-0.21090522991495775,improve,160
aging_matrix,2028,PreDiag_000243_00022C,Ab-A0,secondary,Ab,A0,0.0012485452661099834,0.0017927561818312423,-0.0005442109157212589,-0.30356103146461616,improve,164
aging_matrix,2028,PreDiag_000255_000214,Ab-A0,secondary,Ab,A0,0.0040738352385962535,0.004348691977356959,-0.0002748567387607058,-0.06320446244338458,improve,164
aging_matrix,2028,PreDiag_000203_0001A4,Ag-Abc,secondary,Ag,Abc,0.002075266746044317,0.002075266746044317,0.0,0.0,equal,164
aging_matrix,2028,PreDiag_000213_0001CF,Ag-Abc,secondary,Ag,Abc,0.003220947457381671,0.003220947457381671,0.0,0.0,equal,142
aging_matrix,2028,PreDiag_000240_000227,Ag-Abc,secondary,Ag,Abc,0.0019699437645594535,0.0019699437645594535,0.0,0.0,equal,160
aging_matrix,2028,PreDiag_000243_00022C,Ag-Abc,secondary,Ag,Abc,0.0012485452661099834,0.0012485452661099834,0.0,0.0,equal,164
aging_matrix,2028,PreDiag_000255_000214,Ag-Abc,secondary,Ag,Abc,0.0040738352385962535,0.0040738352385962535,0.0,0.0,equal,164
