dataset,dataset_label,panel,included_in_main_figure,series,arm,tau,median_soh,q25_soh,q75_soh,n_unique_test_cells,n_seeds,n_trajectories,aggregation_unit,interpolation,source_split
mit,MIT,a,True,Truth,truth,0.29292929,0.986848034305,0.984610644692,0.991774195255,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.30303030,0.987085386884,0.984503990293,0.99178784908,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.31313131,0.986413898227,0.984057434827,0.991427093842,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.32323232,0.986027615764,0.983559274321,0.991288759471,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.33333333,0.985307118531,0.982978401448,0.989997389721,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.34343434,0.984960193144,0.982473819602,0.990315797522,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.35353535,0.984792010763,0.98182210969,0.989831535734,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.36363636,0.983954314893,0.981497826725,0.989212735518,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.37373737,0.983725460066,0.981169297906,0.988368121116,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.38383838,0.983077250913,0.980318364029,0.988007439039,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.39393939,0.982449264922,0.979041520689,0.987254228239,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.40404040,0.982021060694,0.977538179651,0.98645072643,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.41414141,0.981645805026,0.977211371742,0.985922290201,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.42424242,0.981028979678,0.977201327192,0.985266190326,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.43434343,0.981440493359,0.97624683271,0.984588219728,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.44444444,0.98049068124,0.97552552431,0.98354179311,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.45454545,0.979770729702,0.974230552189,0.982750328093,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.46464646,0.979306062799,0.973346454212,0.982149465489,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.47474747,0.978586189094,0.972495879772,0.980965472153,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.48484848,0.977809838259,0.971582544138,0.980030978318,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.49494949,0.977221230553,0.970699943852,0.979269085573,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.50505051,0.976367050668,0.970207388768,0.978204125669,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.51515152,0.975214096161,0.969034969562,0.97725845977,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.52525253,0.974152632226,0.967911761014,0.976485739726,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.53535354,0.973084493071,0.966804182813,0.9759057232,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.54545455,0.972010356094,0.965209706371,0.974668033986,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
